,MATCH,DATE,PT_DIFF,HOME,AWAY
3943,Northwestern St. vs. Stephen F. Austin,2007-02-12,10.0,Northwestern St.,Stephen F. Austin
3944,Tennessee St. vs. Austin Peay,2007-02-12,50.0,Tennessee St.,Austin Peay
3945,Alcorn St. vs. Arkansas-Pine Bluff,2007-02-12,-22.0,Alcorn St.,Arkansas-Pine Bluff
3946,Winston-Salem vs. Alabama A&M,2007-02-12,16.0,Winston-Salem,Alabama A&M
3947,Texas Southern vs. Grambling State,2007-02-12,-8.0,Texas Southern,Grambling State
3948,St. Mary's vs. Portland,2007-02-12,-32.0,St. Mary's,Portland
3949,New Mexico St. vs. Hawaii,2007-02-12,-3.0,New Mexico St.,Hawaii
3950,Central Conn. St. vs. Sacred Heart,2007-02-12,14.0,Central Conn. St.,Sacred Heart
3951,Davidson vs. Charleston,2007-02-12,-17.0,Davidson,Charleston
3952,Florida A&M vs. No.Carolina A&T,2007-02-12,-8.0,Florida A&M,No.Carolina A&T
3953,Elon University vs. NC-Greensboro,2007-02-12,-13.0,Elon University,NC-Greensboro
3954,Hampton vs. Coppin St.,2007-02-12,-15.0,Hampton,Coppin St.
3955,Norfolk State vs. Morgan St.,2007-02-12,10.0,Norfolk State,Morgan St.
3956,Maryland - E. Shore vs. Delaware State,2007-02-12,10.0,Maryland - E. Shore,Delaware State
3957,West Virginia vs. Georgetown,2007-02-12,18.0,West Virginia,Georgetown
3958,Prairie View A&M vs. Jackson State,2007-02-12,12.0,Prairie View A&M,Jackson State
3959,Southern vs. Mississippi Valley State,2007-02-12,-1.0,Southern,Mississippi Valley State
3960,Oklahoma St. vs. Texas,2007-02-12,-34.0,Oklahoma St.,Texas
3961,Pepperdine vs. San Diego,2007-02-12,-25.0,Pepperdine,San Diego
3962,Loyola Marymount vs. San Francisco,2007-02-12,-7.0,Loyola Marymount,San Francisco
3963,Santa Clara vs. Gonzaga,2007-02-12,-2.0,Santa Clara,Gonzaga
3964,Hofstra vs. Old Dominion,2007-02-13,-14.0,Hofstra,Old Dominion
3965,Samford vs. Eastern Kentucky,2007-02-13,8.0,Samford,Eastern Kentucky
3966,Savannah State vs. Stetson,2007-02-13,-14.0,Savannah State,Stetson
3967,Eastern Michigan vs. Toledo,2007-02-13,-20.0,Eastern Michigan,Toledo
3968,Kentucky vs. Tennessee,2007-02-13,-4.0,Kentucky,Tennessee
3969,Bowling Green vs. Buffalo,2007-02-13,-8.0,Bowling Green,Buffalo
3970,SE Missouri St. vs. Eastern Illinois,2007-02-13,8.0,SE Missouri St.,Eastern Illinois
3971,Niagara vs. Canisius,2007-02-13,-1.0,Niagara,Canisius
3972,Georgia Tech vs. Florida St.,2007-02-13,-6.0,Georgia Tech,Florida St.
3973,Kansas St. vs. Nebraska,2007-02-13,-11.0,Kansas St.,Nebraska
3974,Southern Illinois vs. Missouri St.,2007-02-13,-4.0,Southern Illinois,Missouri St.
3975,Michigan vs. Michigan St,2007-02-13,-15.0,Michigan,Michigan St
3976,Northern Iowa vs. Creighton,2007-02-13,11.0,Northern Iowa,Creighton
3977,UNLV vs. San Diego St.,2007-02-13,15.0,UNLV,San Diego St.
3978,Ohio vs. Akron,2007-02-13,31.0,Ohio,Akron
3979,Texas Tech vs. Texas A&M,2007-02-13,-2.0,Texas Tech,Texas A&M
3980,Princeton vs. Pennsylvania,2007-02-13,13.0,Princeton,Pennsylvania
3981,Jacksonville St. vs. Morehead St.,2007-02-13,5.0,Jacksonville St.,Morehead St.
3982,Longwood vs. Virginia,2007-02-13,-41.0,Longwood,Virginia
3983,Louisiana-Lafayette vs. Charlotte,2007-02-13,24.0,Louisiana-Lafayette,Charlotte
3984,Virginia Tech vs. North Carolina,2007-02-13,-1.0,Virginia Tech,North Carolina
3985,Ball St. vs. Northern Illinois,2007-02-13,2.0,Ball St.,Northern Illinois
3986,Oklahoma vs. Iowa St.,2007-02-13,2.0,Oklahoma,Iowa St.
3987,Tennessee Tech vs. Tenn-Martin,2007-02-13,-4.0,Tennessee Tech,Tenn-Martin
3988,Texas Christian vs. Colorado St.,2007-02-13,16.0,Texas Christian,Colorado St.
3989,Charleston Southern vs. Winthrop,2007-02-14,-54.0,Charleston Southern,Winthrop
3990,Western Carolina vs. NC-Greensboro,2007-02-14,11.0,Western Carolina,NC-Greensboro
3991,Southern Methodist vs. Marshall,2007-02-14,3.0,Southern Methodist,Marshall
3992,Clemson vs. Wake Forest,2007-02-14,-2.0,Clemson,Wake Forest
3993,Cleveland St. vs. Wright St.,2007-02-14,-13.0,Cleveland St.,Wright St.
3994,Baylor vs. Missouri,2007-02-14,7.0,Baylor,Missouri
3995,Maryland vs. N.C. State,2007-02-14,15.0,Maryland,N.C. State
3996,George Washington vs. St. Joseph's,2007-02-14,-6.0,George Washington,St. Joseph's
3997,Rider vs. Loyola-Maryland,2007-02-14,22.0,Rider,Loyola-Maryland
3998,Temple vs. La Salle,2007-02-14,5.0,Temple,La Salle
3999,Saint Louis vs. Rhode Island,2007-02-14,16.0,Saint Louis,Rhode Island
4000,James Madison vs. Towson,2007-02-14,-14.0,James Madison,Towson
4001,Detroit vs. Youngstown St.,2007-02-14,-14.0,Detroit,Youngstown St.
4002,Army vs. American U.,2007-02-14,15.0,Army,American U.
4003,Duquesne vs. Richmond,2007-02-14,-3.0,Duquesne,Richmond
4004,Florida Atlantic vs. Western Kentucky,2007-02-14,0.0,Florida Atlantic,Western Kentucky
4005,South Alabama vs. Houston,2007-02-14,-5.0,South Alabama,Houston
4006,Arkansas vs. Mississippi St.,2007-02-14,-15.0,Arkansas,Mississippi St.
4007,Wisconsin vs. Minnesota,2007-02-14,-13.0,Wisconsin,Minnesota
4008,Wis.-Green Bay vs. Illinois-Chicago,2007-02-14,-10.0,Wis.-Green Bay,Illinois-Chicago
4009,South Carolina vs. Vanderbilt,2007-02-14,-10.0,South Carolina,Vanderbilt
4010,Alabama vs. Florida,2007-02-14,-9.0,Alabama,Florida
4011,Vermont vs. Maine,2007-02-14,-15.0,Vermont,Maine
4012,Memphis vs. Tulsa,2007-02-14,17.0,Memphis,Tulsa
4013,Wichita St. vs. Drake,2007-02-14,4.0,Wichita St.,Drake
4014,Marquette vs. DePaul,2007-02-14,5.0,Marquette,DePaul
4015,Kansas vs. Colorado,2007-02-14,-29.0,Kansas,Colorado
4016,Duke vs. Boston College,2007-02-14,-8.0,Duke,Boston College
4017,Montana vs. Weber St.,2007-02-14,-6.0,Montana,Weber St.
4018,UC Santa Barbara vs. Cal Poly SLO,2007-02-14,7.0,UC Santa Barbara,Cal Poly SLO
4019,UC Irvine vs. UC Riverside,2007-02-14,5.0,UC Irvine,UC Riverside
4020,Long Beach St. vs. Cal St. Fullerton,2007-02-14,-10.0,Long Beach St.,Cal St. Fullerton
4021,San Jose St. vs. Nevada,2007-02-14,8.0,San Jose St.,Nevada
4022,VCU vs. NC-Wilmington,2007-02-14,-10.0,VCU,NC-Wilmington
4023,Western Michigan vs. Central Michigan,2007-02-14,5.0,Western Michigan,Central Michigan
4024,Southern Mississippi vs. East Carolina,2007-02-14,-38.0,Southern Mississippi,East Carolina
4025,VMI vs. Radford,2007-02-14,7.0,VMI,Radford
4026,Ohio St. vs. Penn St.,2007-02-14,2.0,Ohio St.,Penn St.
4027,Northeastern vs. Georgia St,2007-02-14,6.0,Northeastern,Georgia St
4028,Syracuse vs. South Florida,2007-02-14,-17.0,Syracuse,South Florida
4029,Chattanooga vs. Appalachian St.,2007-02-14,16.0,Chattanooga,Appalachian St.
4030,George Mason vs. Delaware,2007-02-14,-20.0,George Mason,Delaware
4031,Drexel vs. William & Mary,2007-02-14,-13.0,Drexel,William & Mary
4032,Miami (OH) vs. Kent St.,2007-02-14,16.0,Miami (OH),Kent St.
4033,High Point vs. N.C. Asheville,2007-02-14,2.0,High Point,N.C. Asheville
4034,Illinois St. vs. Indiana St.,2007-02-14,15.0,Illinois St.,Indiana St.
4035,Kennesaw St. vs. Georgia,2007-02-14,9.0,Kennesaw St.,Georgia
4036,Siena vs. Fairfield,2007-02-14,-5.0,Siena,Fairfield
4037,Seton Hall vs. Connecticut,2007-02-14,12.0,Seton Hall,Connecticut
4038,Northwestern St. vs. McNeese St.,2007-02-14,2.0,Northwestern St.,McNeese St.
4039,Rice vs. UAB,2007-02-14,-11.0,Rice,UAB
4040,Stephen F. Austin vs. Sam Houston St.,2007-02-14,12.0,Stephen F. Austin,Sam Houston St.
4041,Central Florida vs. Tulane,2007-02-14,-6.0,Central Florida,Tulane
4042,Idaho vs. Louisiana Tech,2007-02-14,-9.0,Idaho,Louisiana Tech
4043,Loyola-Chicago vs. Wis.-Milwaukee,2007-02-14,10.0,Loyola-Chicago,Wis.-Milwaukee
4044,Louisiana State vs. Mississippi,2007-02-14,-21.0,Louisiana State,Mississippi
4045,Tennessee St. vs. Murray St.,2007-02-14,-4.0,Tennessee St.,Murray St.
4046,Bradley vs. Evansville,2007-02-14,1.0,Bradley,Evansville
4047,Lehigh vs. Colgate,2007-02-14,-3.0,Lehigh,Colgate
4048,Cincinnati vs. Villanova,2007-02-14,-16.0,Cincinnati,Villanova
4049,New Mexico vs. Brigham Young,2007-02-14,13.0,New Mexico,Brigham Young
4050,Hawaii vs. Utah St.,2007-02-14,-11.0,Hawaii,Utah St.
4051,Utah vs. Air Force,2007-02-14,26.0,Utah,Air Force
4052,Washington St. vs. Washington,2007-02-14,-4.0,Washington St.,Washington
4053,Montana St. vs. Sacramento State,2007-02-14,-8.0,Montana St.,Sacramento State
4054,UC Davis vs. CSU Northridge,2007-02-14,17.0,UC Davis,CSU Northridge
4055,Holy Cross vs. Navy,2007-02-15,28.0,Holy Cross,Navy
4056,St. Francis (NY) vs. St. Francis (PA),2007-02-15,-7.0,St. Francis (NY),St. Francis (PA)
4057,Iona vs. St. Peter's,2007-02-15,-7.0,Iona,St. Peter's
4058,Mount St. Mary's vs. Sacred Heart,2007-02-15,-28.0,Mount St. Mary's,Sacred Heart
4059,LIU Brooklyn vs. Fairleigh Dickinson,2007-02-15,-5.0,LIU Brooklyn,Fairleigh Dickinson
4060,Liberty vs. Longwood,2007-02-15,-6.0,Liberty,Longwood
4061,MD Baltimore Cty vs. Hartford,2007-02-15,8.0,MD Baltimore Cty,Hartford
4062,Manhattan vs. Marist,2007-02-15,-16.0,Manhattan,Marist
4063,Rutgers vs. St. John's,2007-02-15,-5.0,Rutgers,St. John's
4064,Elon University vs. Georgia Southern,2007-02-15,3.0,Elon University,Georgia Southern
4065,Oakland vs. UMKC,2007-02-15,0.0,Oakland,UMKC
4066,Lamar vs. Central Arkansas,2007-02-15,-4.0,Lamar,Central Arkansas
4067,Gardner-Webb vs. Belmont,2007-02-15,50.0,Gardner-Webb,Belmont
4068,New Orleans vs. Arkansas St.,2007-02-15,18.0,New Orleans,Arkansas St.
4069,Centenary vs. Oral Roberts,2007-02-15,-25.0,Centenary,Oral Roberts
4070,UCLA vs. Arizona St.,2007-02-15,-6.0,UCLA,Arizona St.
4071,North Texas vs. Denver,2007-02-15,-13.0,North Texas,Denver
4072,Massachusetts vs. Fordham,2007-02-15,-15.0,Massachusetts,Fordham
4073,Oregon St. vs. Stanford,2007-02-15,-15.0,Oregon St.,Stanford
4074,Southern California vs. Arizona,2007-02-15,-5.0,Southern California,Arizona
4075,Lafayette vs. Bucknell,2007-02-15,18.0,Lafayette,Bucknell
4076,Indiana vs. Purdue,2007-02-15,-13.0,Indiana,Purdue
4077,Central Conn. St. vs. Monmouth-NJ,2007-02-15,5.0,Central Conn. St.,Monmouth-NJ
4078,Providence vs. Notre Dame,2007-02-15,3.0,Providence,Notre Dame
4079,North Florida vs. Stetson,2007-02-15,-11.0,North Florida,Stetson
4080,Stony Brook vs. Boston U,2007-02-15,13.0,Stony Brook,Boston U
4081,Northwestern vs. Iowa,2007-02-15,8.0,Northwestern,Iowa
4082,Samford vs. Morehead St.,2007-02-15,13.0,Samford,Morehead St.
4083,Jacksonville St. vs. Eastern Kentucky,2007-02-15,12.0,Jacksonville St.,Eastern Kentucky
4084,Campbell vs. Lipscomb,2007-02-15,-3.0,Campbell,Lipscomb
4085,Texas-San Antonio vs. Texas-Arlington,2007-02-15,29.0,Texas-San Antonio,Texas-Arlington
4086,South Dakota State vs. Texas-Pan American,2007-02-15,-13.0,South Dakota State,Texas-Pan American
4087,Texas A&M CC vs. Texas State,2007-02-15,10.0,Texas A&M CC,Texas State
4088,Western Illinois vs. Valparaiso,2007-02-15,24.0,Western Illinois,Valparaiso
4089,Louisiana-Monroe vs. Louisiana-Lafayette,2007-02-15,29.0,Louisiana-Monroe,Louisiana-Lafayette
4090,Florida International vs. Middle Tennessee St.,2007-02-15,2.0,Florida International,Middle Tennessee St.
4091,Indiana - Purdue vs. Southern Utah,2007-02-15,1.0,Indiana - Purdue,Southern Utah
4092,North Dakota State vs. Utah Valley,2007-02-15,-2.0,North Dakota State,Utah Valley
4093,Oregon vs. California,2007-02-15,2.0,Oregon,California
4094,Harvard vs. Brown,2007-02-16,4.0,Harvard,Brown
4095,Dartmouth vs. Yale,2007-02-16,-5.0,Dartmouth,Yale
4096,Winthrop vs. Missouri St.,2007-02-16,-11.0,Winthrop,Missouri St.
4097,Albany vs. Boise St.,2007-02-16,-1.0,Albany,Boise St.
4098,Cornell vs. Princeton,2007-02-16,7.0,Cornell,Princeton
4099,Columbia vs. Pennsylvania,2007-02-16,-19.0,Columbia,Pennsylvania
4100,Jacksonville vs. Mercer,2007-02-16,4.0,Jacksonville,Mercer
4101,St. John's vs. Providence,2007-02-17,5.0,St. John's,Providence
4102,Charleston Southern vs. High Point,2007-02-17,-20.0,Charleston Southern,High Point
4103,Florida St. vs. Virginia,2007-02-17,-3.0,Florida St.,Virginia
4104,Miami-Florida vs. Wake Forest,2007-02-17,-5.0,Miami-Florida,Wake Forest
4105,UCLA vs. Arizona,2007-02-17,-15.0,UCLA,Arizona
4106,Maine vs. Northeastern,2007-02-17,-10.0,Maine,Northeastern
4107,Missouri vs. Oklahoma St.,2007-02-17,11.0,Missouri,Oklahoma St.
4108,Washington vs. Pittsburgh,2007-02-17,4.0,Washington,Pittsburgh
4109,Towson vs. Bucknell,2007-02-17,10.0,Towson,Bucknell
4110,Miami (OH) vs. Indiana St.,2007-02-17,-12.0,Miami (OH),Indiana St.
4111,Gardner-Webb vs. Lipscomb,2007-02-17,-2.0,Gardner-Webb,Lipscomb
4112,Kentucky vs. Alabama,2007-02-17,11.0,Kentucky,Alabama
4113,Mississippi St. vs. Louisiana State,2007-02-17,-6.0,Mississippi St.,Louisiana State
4114,Holy Cross vs. Hofstra,2007-02-17,1.0,Holy Cross,Hofstra
4115,Tennessee vs. South Carolina,2007-02-17,17.0,Tennessee,South Carolina
4116,Connecticut vs. Syracuse,2007-02-17,-23.0,Connecticut,Syracuse
4117,Auburn vs. Georgia,2007-02-17,-7.0,Auburn,Georgia
4118,Howard vs. Bethune-Cookman,2007-02-17,-2.0,Howard,Bethune-Cookman
4119,Coppin St. vs. No.Carolina A&T,2007-02-17,6.0,Coppin St.,No.Carolina A&T
4120,Seton Hall vs. West Virginia,2007-02-17,-10.0,Seton Hall,West Virginia
4121,Maryland - E. Shore vs. Florida A&M,2007-02-17,33.0,Maryland - E. Shore,Florida A&M
4122,Kent St. vs. George Mason,2007-02-17,-6.0,Kent St.,George Mason
4123,Valparaiso vs. Western Michigan,2007-02-17,-9.0,Valparaiso,Western Michigan
4124,William & Mary vs. Fairfield,2007-02-17,16.0,William & Mary,Fairfield
4125,Eastern Illinois vs. Loyola-Chicago,2007-02-17,-23.0,Eastern Illinois,Loyola-Chicago
4126,Louisiana-Monroe vs. Arkansas St.,2007-02-17,8.0,Louisiana-Monroe,Arkansas St.
4127,Central Michigan vs. Illinois-Chicago,2007-02-17,-22.0,Central Michigan,Illinois-Chicago
4128,Mississippi vs. Arkansas,2007-02-17,17.0,Mississippi,Arkansas
4129,Austin Peay vs. Akron,2007-02-17,17.0,Austin Peay,Akron
4130,Bowling Green vs. Morehead St.,2007-02-17,18.0,Bowling Green,Morehead St.
4131,Colorado St. vs. Air Force,2007-02-17,9.0,Colorado St.,Air Force
4132,Richmond vs. Xavier,2007-02-17,-21.0,Richmond,Xavier
4133,Morgan St. vs. South Carolina State,2007-02-17,-12.0,Morgan St.,South Carolina State
4134,Oregon St. vs. California,2007-02-17,23.0,Oregon St.,California
4135,UNLV vs. Utah,2007-02-17,13.0,UNLV,Utah
4136,Northern Iowa vs. Nevada,2007-02-17,15.0,Northern Iowa,Nevada
4137,Charleston vs. Wofford,2007-02-17,13.0,Charleston,Wofford
4138,Cornell vs. Pennsylvania,2007-02-17,-12.0,Cornell,Pennsylvania
4139,Davidson vs. Western Carolina,2007-02-17,33.0,Davidson,Western Carolina
4140,DePaul vs. South Florida,2007-02-17,13.0,DePaul,South Florida
4141,Harvard vs. Yale,2007-02-17,-15.0,Harvard,Yale
4142,McNeese St. vs. Central Arkansas,2007-02-17,-3.0,McNeese St.,Central Arkansas
4143,Utah St. vs. Oral Roberts,2007-02-17,-6.0,Utah St.,Oral Roberts
4144,Detroit vs. Buffalo,2007-02-17,-8.0,Detroit,Buffalo
4145,James Madison vs. Siena,2007-02-17,-11.0,James Madison,Siena
4146,Monmouth-NJ vs. Mount St. Mary's,2007-02-17,1.0,Monmouth-NJ,Mount St. Mary's
4147,NC-Wilmington vs. NC-Greensboro,2007-02-17,7.0,NC-Wilmington,NC-Greensboro
4148,Jacksonville St. vs. Chattanooga,2007-02-17,11.0,Jacksonville St.,Chattanooga
4149,Colorado vs. Texas Tech,2007-02-17,-31.0,Colorado,Texas Tech
4150,Indiana - Purdue vs. UMKC,2007-02-17,-13.0,Indiana - Purdue,UMKC
4151,Arkansas-Little Rock vs. North Texas,2007-02-17,-5.0,Arkansas-Little Rock,North Texas
4152,Oregon vs. Stanford,2007-02-17,-19.0,Oregon,Stanford
4153,La Salle vs. Saint Louis,2007-02-17,-4.0,La Salle,Saint Louis
4154,St. Peter's vs. Tenn-Martin,2007-02-17,-1.0,St. Peter's,Tenn-Martin
4155,Wis.-Milwaukee vs. Drake,2007-02-17,8.0,Wis.-Milwaukee,Drake
4156,Arkansas-Pine Bluff vs. Texas Southern,2007-02-17,-3.0,Arkansas-Pine Bluff,Texas Southern
4157,Mississippi Valley State vs. Prairie View A&M,2007-02-17,-2.0,Mississippi Valley State,Prairie View A&M
4158,Grambling State vs. Jackson State,2007-02-17,-9.0,Grambling State,Jackson State
4159,Loyola-Maryland vs. Tennessee St.,2007-02-17,2.0,Loyola-Maryland,Tennessee St.
4160,San Jose St. vs. Northern Arizona,2007-02-17,11.0,San Jose St.,Northern Arizona
4161,Louisville vs. Marquette,2007-02-17,2.0,Louisville,Marquette
4162,North Carolina vs. Boston College,2007-02-17,-5.0,North Carolina,Boston College
4163,Tulsa vs. Texas-El Paso,2007-02-17,-15.0,Tulsa,Texas-El Paso
4164,San Diego vs. Santa Clara,2007-02-17,-8.0,San Diego,Santa Clara
4165,Eastern Washington vs. UC Santa Barbara,2007-02-17,1.0,Eastern Washington,UC Santa Barbara
4166,UC Riverside vs. Idaho,2007-02-17,-5.0,UC Riverside,Idaho
4167,Cleveland St. vs. CSU Northridge,2007-02-17,-9.0,Cleveland St.,CSU Northridge
4168,Ohio vs. New Mexico St.,2007-02-17,5.0,Ohio,New Mexico St.
4169,Georgetown vs. Villanova,2007-02-17,3.0,Georgetown,Villanova
4170,Penn St. vs. Wisconsin,2007-02-17,-26.0,Penn St.,Wisconsin
4171,Florida vs. Vanderbilt,2007-02-17,-13.0,Florida,Vanderbilt
4172,Army vs. Navy,2007-02-17,-8.0,Army,Navy
4173,Appalachian St. vs. Wichita St.,2007-02-17,2.0,Appalachian St.,Wichita St.
4174,Furman vs. Citadel,2007-02-17,-18.0,Furman,Citadel
4175,Charlotte vs. Rhode Island,2007-02-17,-17.0,Charlotte,Rhode Island
4176,Temple vs. George Washington,2007-02-17,12.0,Temple,George Washington
4177,Elon University vs. Georgia St,2007-02-17,-10.0,Elon University,Georgia St
4178,Canisius vs. Coastal Carolina,2007-02-17,-17.0,Canisius,Coastal Carolina
4179,Iowa vs. Michigan St,2007-02-17,-32.0,Iowa,Michigan St
4180,North Dakota State vs. Texas-Pan American,2007-02-17,11.0,North Dakota State,Texas-Pan American
4181,San Diego St. vs. Wyoming,2007-02-17,-9.0,San Diego St.,Wyoming
4182,Wis.-Green Bay vs. Northern Illinois,2007-02-17,-6.0,Wis.-Green Bay,Northern Illinois
4183,Evansville vs. Samford,2007-02-17,4.0,Evansville,Samford
4184,Texas A&M vs. Oklahoma,2007-02-17,-7.0,Texas A&M,Oklahoma
4185,Indiana vs. Michigan,2007-02-17,-3.0,Indiana,Michigan
4186,Quinnipiac vs. LIU Brooklyn,2007-02-17,-2.0,Quinnipiac,LIU Brooklyn
4187,Nebraska vs. Kansas,2007-02-17,53.0,Nebraska,Kansas
4188,St. Joseph's vs. St. Bonaventure,2007-02-17,-8.0,St. Joseph's,St. Bonaventure
4189,IUPU - Ft. Wayne vs. New Jersey Tech,2007-02-17,5.0,IUPU - Ft. Wayne,New Jersey Tech
4190,Southern Illinois vs. Butler,2007-02-17,-4.0,Southern Illinois,Butler
4191,Liberty vs. Niagara,2007-02-17,-9.0,Liberty,Niagara
4192,Pacific vs. Montana,2007-02-17,-1.0,Pacific,Montana
4193,Manhattan vs. Eastern Michigan,2007-02-17,14.0,Manhattan,Eastern Michigan
4194,UC Irvine vs. San Francisco,2007-02-17,14.0,UC Irvine,San Francisco
4195,Eastern Kentucky vs. Youngstown St.,2007-02-17,-5.0,Eastern Kentucky,Youngstown St.
4196,Radford vs. N.C. Asheville,2007-02-17,10.0,Radford,N.C. Asheville
4197,Campbell vs. Belmont,2007-02-17,24.0,Campbell,Belmont
4198,Ball St. vs. Illinois St.,2007-02-17,-13.0,Ball St.,Illinois St.
4199,Alabama St. vs. Southern,2007-02-17,13.0,Alabama St.,Southern
4200,Delaware State vs. Hampton,2007-02-17,7.0,Delaware State,Hampton
4201,Southeastern Louisiana vs. Nicholls State,2007-02-17,2.0,Southeastern Louisiana,Nicholls State
4202,UAB vs. Houston,2007-02-17,6.0,UAB,Houston
4203,Iowa St. vs. Kansas St.,2007-02-17,-18.0,Iowa St.,Kansas St.
4204,Memphis vs. Gonzaga,2007-02-17,-1.0,Memphis,Gonzaga
4205,Old Dominion vs. Toledo,2007-02-17,3.0,Old Dominion,Toledo
4206,Dartmouth vs. Brown,2007-02-17,20.0,Dartmouth,Brown
4207,Wagner vs. St. Francis (PA),2007-02-17,-3.0,Wagner,St. Francis (PA)
4208,New Orleans vs. Florida Atlantic,2007-02-17,21.0,New Orleans,Florida Atlantic
4209,Central Conn. St. vs. Fairleigh Dickinson,2007-02-17,-6.0,Central Conn. St.,Fairleigh Dickinson
4210,Tulane vs. Marshall,2007-02-17,-8.0,Tulane,Marshall
4211,St. Francis (NY) vs. Robert Morris,2007-02-17,-5.0,St. Francis (NY),Robert Morris
4212,Texas State vs. Texas-San Antonio,2007-02-17,12.0,Texas State,Texas-San Antonio
4213,Murray St. vs. Rider,2007-02-17,7.0,Murray St.,Rider
4214,Portland St. vs. Cal Poly SLO,2007-02-17,5.0,Portland St.,Cal Poly SLO
4215,Iona vs. Delaware,2007-02-17,-2.0,Iona,Delaware
4216,Colgate vs. Marist,2007-02-17,-16.0,Colgate,Marist
4217,Columbia vs. Princeton,2007-02-17,-5.0,Columbia,Princeton
4218,East Tennessee St. vs. Kennesaw St.,2007-02-17,4.0,East Tennessee St.,Kennesaw St.
4219,Texas vs. Baylor,2007-02-17,-1.0,Texas,Baylor
4220,Chicago St. vs. Centenary,2007-02-17,3.0,Chicago St.,Centenary
4221,East Carolina vs. Southern Methodist,2007-02-17,-23.0,East Carolina,Southern Methodist
4222,Bradley vs. VCU,2007-02-17,9.0,Bradley,VCU
4223,Cal St. Fullerton vs. Wright St.,2007-02-17,-15.0,Cal St. Fullerton,Wright St.
4224,Central Florida vs. Rice,2007-02-17,11.0,Central Florida,Rice
4225,Alabama A&M vs. Alcorn St.,2007-02-17,-9.0,Alabama A&M,Alcorn St.
4226,Western Kentucky vs. Troy,2007-02-17,-1.0,Western Kentucky,Troy
4227,Northwestern St. vs. Tennessee Tech,2007-02-17,-1.0,Northwestern St.,Tennessee Tech
4228,Louisiana Tech vs. SE Missouri St.,2007-02-17,16.0,Louisiana Tech,SE Missouri St.
4229,Louisiana-Lafayette vs. Denver,2007-02-17,-2.0,Louisiana-Lafayette,Denver
4230,Texas Christian vs. New Mexico,2007-02-17,16.0,Texas Christian,New Mexico
4231,South Dakota State vs. Utah Valley,2007-02-17,-27.0,South Dakota State,Utah Valley
4232,Oakland vs. Southern Utah,2007-02-17,-2.0,Oakland,Southern Utah
4233,Drexel vs. Creighton,2007-02-17,-6.0,Drexel,Creighton
4234,Sam Houston St. vs. Fresno St.,2007-02-17,18.0,Sam Houston St.,Fresno St.
4235,Hawaii vs. Long Beach St.,2007-02-17,15.0,Hawaii,Long Beach St.
4236,Loyola Marymount vs. Pepperdine,2007-02-17,-7.0,Loyola Marymount,Pepperdine
4237,Duquesne vs. Fordham,2007-02-18,-3.0,Duquesne,Fordham
4238,Georgia Tech vs. Duke,2007-02-18,9.0,Georgia Tech,Duke
4239,New Hampshire vs. Stony Brook,2007-02-18,-18.0,New Hampshire,Stony Brook
4240,Massachusetts vs. Dayton,2007-02-18,-8.0,Massachusetts,Dayton
4241,Binghamton vs. Vermont,2007-02-18,-10.0,Binghamton,Vermont
4242,South Alabama vs. Florida International,2007-02-18,2.0,South Alabama,Florida International
4243,Maryland vs. Clemson,2007-02-18,-16.0,Maryland,Clemson
4244,Jacksonville vs. Stetson,2007-02-18,-5.0,Jacksonville,Stetson
4245,Southern California vs. Arizona St.,2007-02-18,10.0,Southern California,Arizona St.
4246,Lehigh vs. Lafayette,2007-02-18,4.0,Lehigh,Lafayette
4247,Ohio St. vs. Minnesota,2007-02-18,-18.0,Ohio St.,Minnesota
4248,Notre Dame vs. Cincinnati,2007-02-18,-12.0,Notre Dame,Cincinnati
4249,North Florida vs. Mercer,2007-02-18,10.0,North Florida,Mercer
4250,Northwestern vs. Illinois,2007-02-18,11.0,Northwestern,Illinois
4251,Virginia Tech vs. N.C. State,2007-02-18,25.0,Virginia Tech,N.C. State
4252,Boston U vs. MD Baltimore Cty,2007-02-18,-4.0,Boston U,MD Baltimore Cty
4253,Wagner vs. Robert Morris,2007-02-18,8.0,Wagner,Robert Morris
4254,New Jersey Tech vs. Longwood,2007-02-19,-4.0,New Jersey Tech,Longwood
4255,Charleston vs. Furman,2007-02-19,3.0,Charleston,Furman
4256,Villanova vs. Marquette,2007-02-19,13.0,Villanova,Marquette
4257,Alabama A&M vs. Southern,2007-02-19,-2.0,Alabama A&M,Southern
4258,Citadel vs. Georgia Southern,2007-02-19,-35.0,Citadel,Georgia Southern
4259,Marist vs. Fairfield,2007-02-19,-7.0,Marist,Fairfield
4260,Texas-Arlington vs. Texas A&M CC,2007-02-19,19.0,Texas-Arlington,Texas A&M CC
4261,Pittsburgh vs. Seton Hall,2007-02-19,3.0,Pittsburgh,Seton Hall
4262,Butler vs. Wis.-Green Bay,2007-02-19,10.0,Butler,Wis.-Green Bay
4263,Arkansas-Pine Bluff vs. Prairie View A&M,2007-02-19,3.0,Arkansas-Pine Bluff,Prairie View A&M
4264,Kansas vs. Kansas St.,2007-02-19,9.0,Kansas,Kansas St.
4265,Coppin St. vs. South Carolina State,2007-02-19,-11.0,Coppin St.,South Carolina State
4266,San Francisco vs. St. Mary's,2007-02-19,-9.0,San Francisco,St. Mary's
4267,Wofford vs. Davidson,2007-02-19,7.0,Wofford,Davidson
