PLAYER,A,BLK,DEF,OFF,PF,PTS,STL,TO,TOT,3P,3PA,FG,FGA,FT,FTA,MINS,TEAM,PER
Ambrose Mosley,34,3,52,28,67,231,19,18,80,57,148,80,188,14,20,704,NC-Wilmington,23.85747325514413
Amel TeTe,9,13,38,22,47,53,5,27,60,0,1,22,51,9,24,307,Presbyterian,8.943631132033444
Ami Lakoju,4,6,32,18,26,59,0,8,50,0,0,26,42,7,16,150,UC Santa Barbara,34.79355826583236
Amida Brimah,5,78,121,54,89,212,6,42,175,0,0,75,130,62,101,695,Connecticut,31.115254889680187
Amidou Bamba,7,21,75,30,52,116,2,16,105,0,0,50,92,16,36,441,Coastal Carolina,22.685445666599474
Amile Jefferson,48,44,174,67,68,313,20,43,241,0,0,120,194,73,121,819,Duke,40.095530968103546
Amir Bell,49,8,45,8,61,161,19,29,53,21,55,59,137,22,33,579,Princeton,20.481399097315073
Amir Coffey,89,5,91,22,50,348,35,56,113,27,81,115,251,91,121,952,Minnesota,26.604694918531585
Amir Warnock,6,14,94,47,66,122,5,32,141,0,0,54,112,14,35,413,Alabama St.,21.419720096575904
Amos Given,8,0,33,33,47,131,14,32,66,0,0,60,130,11,25,369,Mississippi Valley State,17.19957724078675
Anas Mahmoud,23,57,64,41,75,160,27,31,105,0,0,69,109,22,44,517,Louisville,36.33609027165205
Anders Broman,37,4,41,4,43,252,20,25,45,61,133,83,181,25,30,650,Winthrop,27.081993830611715
Andre Adams,1,2,5,8,9,19,0,2,13,0,0,9,12,1,5,58,Arizona State,29.556257306416992
Andre Berry,1,2,3,7,11,19,1,4,10,0,0,9,19,1,2,65,Rhode Island,16.82843585838358
Andre Chatfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Harvard,0.0
Andre Ferguson,17,0,18,1,31,37,5,20,19,4,14,10,37,13,22,233,Portland,0.7736485096448982
Andre Fox,58,16,90,26,59,350,21,66,116,32,97,108,283,102,128,835,High Point,25.637304091391623
Andre Jones,11,4,24,14,19,72,11,27,38,8,32,28,81,8,19,280,Arkansas-Little Rock,9.708413279515435
Andre Jones,11,4,24,14,19,72,11,27,38,8,32,28,81,8,19,280,Little Rock,9.708413279515435
Andre Statam,9,1,46,17,50,102,9,19,63,18,53,33,93,18,25,325,Jacksonville St.,16.917901862373476
Andre Walker,117,11,94,20,85,474,47,102,114,77,200,146,415,105,123,1036,Loyola-Maryland,26.974815412009097
Andre Walker,117,11,94,20,85,474,47,102,114,77,200,146,415,105,123,1036,Hofstra,26.974815412009097
Andre Wallace,26,1,32,4,22,117,9,20,36,18,56,38,98,23,47,358,South Dakota State,17.732600889438434
Andre Washington,27,91,143,80,94,221,13,49,223,0,1,83,148,55,116,814,East Carolina,31.444971755064824
Andre Washington,27,91,143,80,94,221,13,49,223,0,1,83,148,55,116,814,Illinois St.,31.444971755064824
Andre Wesson,9,5,19,15,32,63,6,18,34,12,34,18,49,15,28,308,Ohio St.,11.199494423330432
Andre Wolford,6,3,17,9,25,111,7,13,26,19,50,39,82,14,18,255,St. Francis (PA),54.36668819337145
Andrew Bargmann,10,0,18,2,15,30,6,9,20,4,15,9,24,8,9,160,Colgate,14.032584379427332
Andrew Bastien,4,10,20,8,22,37,1,2,28,0,0,16,23,5,11,125,Utah Valley,28.551354395353542
Andrew Brown,29,6,43,17,51,123,14,20,60,33,74,43,96,4,7,501,Furman,20.50468504868508
Andrew Cartwright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Drexel,0.0
Andrew Chrabascz,92,9,91,43,67,328,23,46,134,22,59,108,236,90,120,947,Butler,29.73310409309247
Andrew Drone,5,11,13,14,31,58,2,15,27,0,0,23,31,12,21,176,Rice,24.5113477451999
Andrew Eudy,48,49,95,49,99,166,15,28,144,8,22,69,133,20,30,739,Campbell,26.763434033201644
Andrew Fishler,5,22,30,18,34,80,1,8,48,0,0,33,59,14,25,239,Mercer,32.62465294916769
Andrew Fleming,28,19,125,44,77,276,17,56,169,5,16,107,236,57,92,764,Maine,22.895078327289852
Andrew Jones,102,10,104,13,67,337,38,76,117,37,114,111,256,78,102,820,Texas,2.8694737487296096
Andrew Kostecka,27,12,51,19,52,186,24,30,70,30,74,63,131,30,39,568,Loyola-Maryland,27.4114303324942
Andrew Leone,4,0,1,1,2,9,0,1,2,1,7,1,8,6,6,25,Fairfield,19.922452300696534
Andrew McAuliffe,9,8,17,10,46,53,2,15,27,0,0,24,39,5,11,201,Davidson,14.473929043070418
Andrew Moemeka,2,7,30,13,27,23,9,14,43,0,0,10,13,3,3,112,Wyoming,24.867433672693622
Andrew Panayiotou,1,0,0,1,4,2,0,4,1,0,1,1,3,0,0,19,Columbia,-19.443685371616475
Andrew Pickles,0,0,2,1,1,2,0,1,3,0,0,0,0,2,2,10,UC Santa Barbara,19.511504852032665
Andrew Ramirez,42,0,41,13,33,129,28,44,54,14,50,40,108,35,50,524,Hartford,15.660470616372631
Andrew Riley,1,0,0,1,3,9,2,0,1,1,3,3,5,2,2,15,Arkansas St.,62.38502006857846
Andrew Robinson,4,1,16,10,9,73,4,7,26,17,46,25,68,6,8,193,Quinnipiac,20.28897577039266
Andrew Rowsey,67,0,46,5,58,327,16,36,51,63,140,92,199,80,85,581,Marquette,40.1943906468585
